,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,ZipCode,Latitude,Longitude,Address,City,State,energy_grad,full_address
0,1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,HOTEL,Hotel,88434.0,65.0,78.9,80.3,173.5,175.1,6981428.0,7097539.0,2023032.0,1080307.0,3686160.0,12724.0,1272388.0,249.43,2.64,No,Compliant,18081.0,47.6122,-122.33799744,405 OLIVE WAY,SEATTLE,WA,A,"405 OLIVE WAY,SEATTLE,WA"
1611,1,2016,NonResidential,Hotel,Mayflower park hotel,7,DOWNTOWN,1927,1.0,12.0,88434,0,88434,HOTEL,Hotel,88434.0,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,249.98,2.83,False,Compliant,98101.0,47.6122,-122.33798999999999,405 Olive way,Seattle,WA,B,"405 Olive way,Seattle,WA"
1,2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"HOTEL, PARKING, RESTAURANT",Hotel,83880.0,51.0,94.4,99.0,191.3,195.2,8354235.0,8765788.0,0.0,1144563.0,3905411.0,44490.0,4448985.0,263.51,2.38,No,Compliant,18081.0,47.613170000000004,-122.33335756,724 PINE ST,SEATTLE,WA,B,"724 PINE ST,SEATTLE,WA"
1612,2,2016,NonResidential,Hotel,Paramount Hotel,7,DOWNTOWN,1996,1.0,11.0,103566,15064,88502,"HOTEL, PARKING, RESTAURANT",Hotel,83880.0,61.0,94.80000305,97.90000153,176.1,179.4,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,295.86,2.86,False,Compliant,98101.0,47.613170000000004,-122.33393000000001,724 Pine street,Seattle,WA,A,"724 Pine street,Seattle,WA"
2,3,2015,NonResidential,Hotel,WESTIN HOTEL,7,DOWNTOWN,1969,1.0,41.0,961990,0,961990,"HOTEL, PARKING, SWIMMING POOL",Hotel,757243.0,18.0,96.6,99.7,242.7,246.5,73130656.0,75506272.0,19660404.0,14583930.0,49762435.0,37099.0,3709900.0,2061.48,1.92,Yes,Compliant,18081.0,47.613929999999996,-122.33769944,1900 5TH AVE,SEATTLE,WA,D,"1900 5TH AVE,SEATTLE,WA"
1613,3,2016,NonResidential,Hotel,5673-The Westin Seattle,7,DOWNTOWN,1969,1.0,41.0,956110,196718,759392,HOTEL,Hotel,756493.0,43.0,96.0,97.69999695,241.9,244.1,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,2089.28,2.19,False,Compliant,98101.0,47.613929999999996,-122.3381,1900 5th Avenue,Seattle,WA,B,"1900 5th Avenue,Seattle,WA"
1614,5,2016,NonResidential,Hotel,HOTEL MAX,7,DOWNTOWN,1926,1.0,10.0,61320,0,61320,HOTEL,Hotel,61320.0,56.0,110.8000031,113.3000031,216.2,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,286.43,4.67,False,Compliant,98101.0,47.61412,-122.33663999999999,620 STEWART ST,Seattle,WA,B,"620 STEWART ST,Seattle,WA"
3,8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,7,DOWNTOWN,1980,1.0,18.0,119890,12460,107430,"HOTEL, PARKING, SWIMMING POOL",Hotel,123445.0,67.0,120.1,122.1,228.8,227.1,14829099.0,15078243.0,0.0,1777841.0,6066245.0,87631.0,8763105.0,507.7,4.02,No,Compliant,19576.0,47.61375,-122.3409238,401 LENORA ST,SEATTLE,WA,A,"401 LENORA ST,SEATTLE,WA"
1615,8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),7,DOWNTOWN,1980,1.0,18.0,175580,62000,113580,"HOTEL, PARKING, SWIMMING POOL",Hotel,123445.0,75.0,114.8000031,118.6999969,211.4,215.6,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,505.01,2.88,False,Compliant,98121.0,47.61375,-122.34047,401 LENORA ST,Seattle,WA,A,"401 LENORA ST,Seattle,WA"
4,9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,POLICE STATION,Police Station,88830.0,,135.7,146.9,313.5,321.6,12051984.0,13045258.0,0.0,2130921.0,7271004.0,47813.0,4781283.0,304.62,2.81,No,Compliant,19576.0,47.61623,-122.33676431,810 VIRGINIA ST,SEATTLE,WA,NC,"810 VIRGINIA ST,SEATTLE,WA"
1616,9,2016,Nonresidential COS,Other,West Precinct,7,DOWNTOWN,1999,1.0,2.0,97288,37198,60090,POLICE STATION,Police Station,88830.0,,136.1000061,141.6000061,316.3,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,301.81,3.1,False,Compliant,98101.0,47.61623,-122.33657,810 Virginia St,Seattle,WA,NC,"810 Virginia St,Seattle,WA"
